question_id,question_type,evidence_phrases,gold_node_count,gold_page_count,gold_node_ids,gold_pages,mapping_notes
FIN001,表格 + 财务披露,NVIDIA 封面 Market Value | Apple 封面 Market Value | Microsoft 股票信息,6,5,T_FIN_01_NVIDIA_10K_1_1;T_FIN_01_NVIDIA_10K_1_5;T_FIN_03_Apple_10K_2_4;T_FIN_03_Apple_10K_2_1;TB_FIN_02_Microsoft_Annual_Report_6_1;TB_FIN_02_Microsoft_Annual_Report_64_1,1;2;6;64;65,"NVIDIA 封面 Market Value -> FIN_01_NVIDIA_10K:p1:T_FIN_01_NVIDIA_10K_1_1,T_FIN_01_NVIDIA_10K_1_5 || Apple 封面 Market Value -> FIN_03_Apple_10K:p2:T_FIN_03_Apple_10K_2_4,T_FIN_03_Apple_10K_2_1 || Microsoft 股票信息 -> FIN_02_Microsoft_Annual_Report:p6,64,65:TB_FIN_02_Microsoft_Annual_Report_6_1,TB_FIN_02_Microsoft_Annual_Report_64_1"
FIN002,表格 + 注册信息,三家公司 Form 10-K 首页 Securities registered,6,2,TB_FIN_01_NVIDIA_10K_1_1;C_FIN_01_NVIDIA_10K_1_1;T_FIN_02_Microsoft_Annual_Report_6_1;TB_FIN_02_Microsoft_Annual_Report_6_1;T_FIN_03_Apple_10K_1_1;T_FIN_03_Apple_10K_1_2,1;6,"三家公司 Form 10-K 首页 Securities registered -> FIN_01_NVIDIA_10K:p1:TB_FIN_01_NVIDIA_10K_1_1,C_FIN_01_NVIDIA_10K_1_1 || 三家公司 Form 10-K 首页 Securities registered -> FIN_02_Microsoft_Annual_Report:p6:T_FIN_02_Microsoft_Annual_Report_6_1,TB_FIN_02_Microsoft_Annual_Report_6_1 || 三家公司 Form 10-K 首页 Securities registered -> FIN_03_Apple_10K:p1:T_FIN_03_Apple_10K_1_1,T_FIN_03_Apple_10K_1_2"
FIN003,表格 + 财务文本,Microsoft Share Repurchase 表 | Apple Equity Securities,4,6,TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;T_FIN_03_Apple_10K_22_1;T_FIN_03_Apple_10K_36_2,6;64;65;22;35;36,"Microsoft Share Repurchase 表 -> FIN_02_Microsoft_Annual_Report:p6,64,65:TB_FIN_02_Microsoft_Annual_Report_64_1,TB_FIN_02_Microsoft_Annual_Report_64_2 || Apple Equity Securities -> FIN_03_Apple_10K:p22,35,36:T_FIN_03_Apple_10K_22_1,T_FIN_03_Apple_10K_36_2"
FIN004,表格 + 业务结构,Apple Segments 表 | Microsoft business structure,4,7,TB_FIN_03_Apple_10K_25_1;TB_FIN_03_Apple_10K_50_2;T_FIN_02_Microsoft_Annual_Report_10_5;T_FIN_02_Microsoft_Annual_Report_11_5,25;50;10;11;12;68;71,"Apple Segments 表 -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_25_1,TB_FIN_03_Apple_10K_50_2 || Microsoft business structure -> FIN_02_Microsoft_Annual_Report:p10,11,12,68,71:T_FIN_02_Microsoft_Annual_Report_10_5,T_FIN_02_Microsoft_Annual_Report_11_5"
FIN005,表格 + 数据指标,Microsoft AI infrastructure | NVIDIA Data Center,4,16,T_FIN_02_Microsoft_Annual_Report_25_2;T_FIN_02_Microsoft_Annual_Report_24_1;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1,2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81,"Microsoft AI infrastructure -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_25_2,T_FIN_02_Microsoft_Annual_Report_24_1 || NVIDIA Data Center -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_5_5,T_FIN_01_NVIDIA_10K_4_1"
FIN006,风险说明 + 业务表格,Apple Supply of Components | NVIDIA Risk/Data Center,4,8,T_FIN_03_Apple_10K_11_5;T_FIN_03_Apple_10K_11_6;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1,11;12;4;5;6;7;9;81,"Apple Supply of Components -> FIN_03_Apple_10K:p11,12:T_FIN_03_Apple_10K_11_5,T_FIN_03_Apple_10K_11_6 || NVIDIA Risk/Data Center -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_5_5,T_FIN_01_NVIDIA_10K_4_1"
FIN007,表格 + 产品结构,Apple Products/Services | Microsoft Revenue/Azure,4,15,T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_22_5,4;5;26;27;38;2;3;10;12;13;22;23;24;25;71,"Apple Products/Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_2,T_FIN_03_Apple_10K_5_1 || Microsoft Revenue/Azure -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_22_5"
FIN008,表格 + 产品体系,NVIDIA platform | Microsoft Copilot/Azure | Apple Products & Services,6,19,T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_6_2;T_FIN_02_Microsoft_Annual_Report_22_5;T_FIN_02_Microsoft_Annual_Report_23_1;T_FIN_03_Apple_10K_5_1;TB_FIN_03_Apple_10K_38_1,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38,"NVIDIA platform -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_4_1,T_FIN_01_NVIDIA_10K_6_2 || Microsoft Copilot/Azure -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_5,T_FIN_02_Microsoft_Annual_Report_23_1 || Apple Products & Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_1,TB_FIN_03_Apple_10K_38_1"
FIN009,表格 + 客户案例,NVIDIA customers | Microsoft customer examples,4,6,T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_18_2;T_FIN_02_Microsoft_Annual_Report_18_5,5;43;54;80;13;18,"NVIDIA customers -> FIN_01_NVIDIA_10K:p5,43,54,80:T_FIN_01_NVIDIA_10K_43_1,T_FIN_01_NVIDIA_10K_80_3 || Microsoft customer examples -> FIN_02_Microsoft_Annual_Report:p13,18:T_FIN_02_Microsoft_Annual_Report_18_2,T_FIN_02_Microsoft_Annual_Report_18_5"
FIN010,地区表格 + 全球布局,Apple Segments | Microsoft datacenter regions,4,5,TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1,25;50;2;16;62,"Apple Segments -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_2,TB_FIN_03_Apple_10K_50_3 || Microsoft datacenter regions -> FIN_02_Microsoft_Annual_Report:p2,16,62:T_FIN_02_Microsoft_Annual_Report_2_2,T_FIN_02_Microsoft_Annual_Report_16_1"
FIN011,表格 + 产品说明,NVIDIA Data Center | Microsoft Azure/Copilot | Apple Services,6,19,T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1;T_FIN_02_Microsoft_Annual_Report_22_5;T_FIN_02_Microsoft_Annual_Report_23_1;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38,"NVIDIA Data Center -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_5_5,T_FIN_01_NVIDIA_10K_4_1 || Microsoft Azure/Copilot -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_5,T_FIN_02_Microsoft_Annual_Report_23_1 || Apple Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_2,T_FIN_03_Apple_10K_5_1"
FIN012,文本 + 产品路线,NVIDIA Blackwell/Rubin | Microsoft AI innovation | Apple Products/Services,6,19,T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;T_FIN_02_Microsoft_Annual_Report_2_1;T_FIN_02_Microsoft_Annual_Report_3_5;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38,"NVIDIA Blackwell/Rubin -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_4_1,T_FIN_01_NVIDIA_10K_4_7 || Microsoft AI innovation -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_2_1,T_FIN_02_Microsoft_Annual_Report_3_5 || Apple Products/Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_2,T_FIN_03_Apple_10K_5_1"
FIN013,财务表格 + 文本,NVIDIA Data Center Revenue 表 | Microsoft Azure Revenue 表 | Apple Net Sales by Product/Service 表,6,11,TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1,81;22;23;24;25;71;4;5;26;27;38,"NVIDIA Data Center Revenue 表 -> FIN_01_NVIDIA_10K:p81:TB_FIN_01_NVIDIA_10K_81_2,TB_FIN_01_NVIDIA_10K_81_1 || Microsoft Azure Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2 || Apple Net Sales by Product/Service 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_26_1"
FIN014,地区收入表 + 全球布局图表,Apple Net Sales by Reportable Segment | Microsoft Datacenter Regions,4,5,TB_FIN_03_Apple_10K_50_1;T_FIN_03_Apple_10K_25_1;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1,25;50;2;16;62,"Apple Net Sales by Reportable Segment -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_1,T_FIN_03_Apple_10K_25_1 || Microsoft Datacenter Regions -> FIN_02_Microsoft_Annual_Report:p2,16,62:T_FIN_02_Microsoft_Annual_Report_2_2,T_FIN_02_Microsoft_Annual_Report_16_1"
FIN015,财务表格 + 指标数据,NVIDIA Segment Revenue 表 | Microsoft Azure/AI metrics 表,4,13,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;T_FIN_02_Microsoft_Annual_Report_22_2;T_FIN_02_Microsoft_Annual_Report_22_1,79;80;81;2;3;10;12;13;22;23;24;25;71,"NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1 || Microsoft Azure/AI metrics 表 -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_2,T_FIN_02_Microsoft_Annual_Report_22_1"
FIN016,分部表格 + 业务说明,NVIDIA Segment 表 | Apple Segment 表 | Microsoft Business Segment 表,6,10,C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_03_Apple_10K_25_1;TB_FIN_03_Apple_10K_50_2;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_11_1,79;80;81;25;50;10;11;12;68;71,"NVIDIA Segment 表 -> FIN_01_NVIDIA_10K:p79,80,81:C_FIN_01_NVIDIA_10K_80_1,C_FIN_01_NVIDIA_10K_81_1 || Apple Segment 表 -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_25_1,TB_FIN_03_Apple_10K_50_2 || Microsoft Business Segment 表 -> FIN_02_Microsoft_Annual_Report:p10,11,12,68,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_11_1"
FIN017,产品收入表 + 分部收入表,Apple Product Revenue 表 | NVIDIA Segment Revenue 表,4,8,TB_FIN_03_Apple_10K_4_1;TB_FIN_03_Apple_10K_27_2;TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1,4;5;26;27;38;79;80;81,"Apple Product Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_4_1,TB_FIN_03_Apple_10K_27_2 || NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1"
FIN018,回购表 + 现金流表,Microsoft Share Repurchase 表 | Apple Capital Return/Cash Flow 表,4,6,TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1,6;64;65;22;35;36,"Microsoft Share Repurchase 表 -> FIN_02_Microsoft_Annual_Report:p6,64,65:TB_FIN_02_Microsoft_Annual_Report_64_1,TB_FIN_02_Microsoft_Annual_Report_64_2 || Apple Capital Return/Cash Flow 表 -> FIN_03_Apple_10K:p22,35,36:TB_FIN_03_Apple_10K_35_1,TB_FIN_03_Apple_10K_36_1"
FIN019,风险表格 + 文本,Apple Supply Components | NVIDIA Risk Factors,4,8,T_FIN_03_Apple_10K_11_9;T_FIN_03_Apple_10K_12_9;T_FIN_01_NVIDIA_10K_38_1;TB_FIN_01_NVIDIA_10K_20_1,11;12;16;20;23;28;36;38,"Apple Supply Components -> FIN_03_Apple_10K:p11,12:T_FIN_03_Apple_10K_11_9,T_FIN_03_Apple_10K_12_9 || NVIDIA Risk Factors -> FIN_01_NVIDIA_10K:p16,20,23,28,36,38:T_FIN_01_NVIDIA_10K_38_1,TB_FIN_01_NVIDIA_10K_20_1"
FIN020,产品分类表 + 平台说明,Microsoft AI Products | NVIDIA Platform Stack | Apple Services 表,6,19,T_FIN_02_Microsoft_Annual_Report_12_5;T_FIN_02_Microsoft_Annual_Report_25_1;T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1,2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81;26;27;38,"Microsoft AI Products -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_12_5,T_FIN_02_Microsoft_Annual_Report_25_1 || NVIDIA Platform Stack -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_4_1,T_FIN_01_NVIDIA_10K_4_7 || Apple Services 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1"
FIN021,收入表格 + 业务分析,Apple Services Revenue 表 | Microsoft Cloud Revenue 表,4,10,TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;26;27;38;22;23;24;25;71,"Apple Services Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1 || Microsoft Cloud Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN022,业务结构表 + 产品表,NVIDIA Segment | Microsoft AI Platform | Apple Products & Services,6,18,TB_FIN_01_NVIDIA_10K_80_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_13_4;T_FIN_02_Microsoft_Annual_Report_2_3;T_FIN_03_Apple_10K_5_1;TB_FIN_03_Apple_10K_38_1,79;80;81;2;3;10;12;13;22;23;24;25;71;4;5;26;27;38,"NVIDIA Segment -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_80_1,T_FIN_01_NVIDIA_10K_80_3 || Microsoft AI Platform -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_13_4,T_FIN_02_Microsoft_Annual_Report_2_3 || Apple Products & Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_1,TB_FIN_03_Apple_10K_38_1"
FIN023,地区收入表 + 子公司表,Apple Segment Revenue | Tesla Subsidiaries 表,4,5,TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_04_Tesla_10K_55_2;T_FIN_04_Tesla_10K_65_2,25;50;55;65;110,"Apple Segment Revenue -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_2,TB_FIN_03_Apple_10K_50_3 || Tesla Subsidiaries 表 -> FIN_04_Tesla_10K:p55,65,110:T_FIN_04_Tesla_10K_55_2,T_FIN_04_Tesla_10K_65_2"
FIN024,财务表格 + 用户指标,NVIDIA Revenue 表 | Microsoft Azure/Copilot 数据,4,14,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,53;55;57;81;2;3;10;12;13;22;23;24;25;71,"NVIDIA Revenue 表 -> FIN_01_NVIDIA_10K:p53,55,57,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_81_1 || Microsoft Azure/Copilot 数据 -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN025,分部收入表 + 产品收入表,NVIDIA Segment Revenue 表 | Apple Net Sales by Product 表,4,8,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1,79;80;81;4;5;26;27;38,"NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1 || Apple Net Sales by Product 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_26_1"
FIN026,收入表格 + 部门结构表,Apple Services Revenue 表 | Microsoft Segment Revenue 表,4,10,TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;26;27;38;22;23;24;25;71,"Apple Services Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1 || Microsoft Segment Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN027,财务表格,NVIDIA Data Center Revenue 表 | Microsoft Intelligent Cloud Revenue 表,4,6,TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_22_4,81;22;23;24;25;71,"NVIDIA Data Center Revenue 表 -> FIN_01_NVIDIA_10K:p81:TB_FIN_01_NVIDIA_10K_81_2,TB_FIN_01_NVIDIA_10K_81_1 || Microsoft Intelligent Cloud Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_22_4"
