"question_id","question_type","question","demo_angle","acceptable_gold_node_ids","acceptable_gold_pages","acceptable_gold_modalities","evidence_note"
"FIN003","表格 + 财务文本","Apple 与 Microsoft 在股东回报方面分别采用了哪些方式？请结合表格中的回购计划分析。","展示跨公司股东回报对比：Microsoft 回购计划 + Apple 现金回报。","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;T_FIN_03_Apple_10K_22_1;T_FIN_03_Apple_10K_36_2","6;64;65;22;35;36","table;text","原编号：Q003；证据位置：Microsoft Share Repurchase 表；Apple Equity Securities；证据链说明：结合 Microsoft 的回购金额表和 Apple 的股东权益相关披露分析。"
"FIN005","表格 + 数据指标","NVIDIA 与 Microsoft 在 AI 基础设施扩张方面分别披露了哪些量化指标？","展示 AI 基础设施扩张：Microsoft Azure/数据中心 + NVIDIA Data Center。","T_FIN_02_Microsoft_Annual_Report_25_2;T_FIN_02_Microsoft_Annual_Report_24_1;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81","table;text","原编号：Q005；证据位置：Microsoft AI infrastructure；NVIDIA Data Center；证据链说明：需要从不同公司年报中提取 AI 基础设施相关量化数据并比较。"
"FIN006","风险说明 + 业务表格","Apple 与 NVIDIA 在业务风险中都提到了哪些供应链问题？这些问题如何通过表格或业务说明体现？","展示供应链风险归纳：Apple 组件供应 + NVIDIA 高端制造依赖。","T_FIN_03_Apple_10K_11_5;T_FIN_03_Apple_10K_11_6;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","11;12;4;5;6;7;9;81","table;text","原编号：Q006；证据位置：Apple Supply of Components；NVIDIA Risk/Data Center；证据链说明：从供应链描述与业务结构中总结共同风险。"
"FIN009","表格 + 客户案例","Microsoft 和 NVIDIA 的 AI 客户覆盖范围分别有哪些特点？","展示客户覆盖分析：NVIDIA 算力客户 + Microsoft 企业客户案例。","T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_18_2;T_FIN_02_Microsoft_Annual_Report_18_5","5;43;54;80;13;18","table;text","原编号：Q009；证据位置：NVIDIA customers；Microsoft customer examples；证据链说明：通过客户类别与行业案例进行交叉分析。"
"FIN010","地区表格 + 全球布局","Apple 与 Microsoft 在全球市场布局上分别有哪些重点区域？从业务分部表中能得到什么结论？","展示全球布局对比：Apple 地区收入 + Microsoft 数据中心区域。","TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1","25;50;2;16;62","table;text","原编号：Q010；证据位置：Apple Segments；Microsoft datacenter regions；证据链说明：需要结合地区分部与全球基础设施数据进行总结。"
"FIN012","文本 + 产品路线","Apple、Microsoft 与 NVIDIA 在年报中分别如何描述未来技术方向？这些方向之间有什么联系？","展示技术路线综合：NVIDIA、Microsoft、Apple 三家公司未来方向。","T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;T_FIN_02_Microsoft_Annual_Report_2_1;T_FIN_02_Microsoft_Annual_Report_3_5;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1","4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38","text;table","原编号：Q012；证据位置：NVIDIA Blackwell/Rubin；Microsoft AI innovation；Apple Products/Services；证据链说明：需要结合不同文档中的未来产品路线进行综合推断。"
"FIN013","财务表格 + 文本","NVIDIA 数据中心业务、Microsoft Azure 云业务、Apple 服务业务分别体现了怎样的增长趋势？请结合三家公司财务表格中的收入数据分析。","展示三家公司增长来源：NVIDIA Data Center、Microsoft Azure、Apple Services。","TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1","81;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q001；证据位置：NVIDIA Data Center Revenue 表；Microsoft Azure Revenue 表；Apple Net Sales by Product/Service 表；证据链说明：需要分别读取三家公司收入表，再比较增长来源与业务结构变化。"
"FIN015","财务表格 + 指标数据","NVIDIA 与 Microsoft 在 AI 基础设施投入上分别体现在哪些表格或数据指标中？","展示 AI 指标型问答：收入、用户、基础设施等量化证据融合。","TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;T_FIN_02_Microsoft_Annual_Report_22_2;T_FIN_02_Microsoft_Annual_Report_22_1","79;80;81;2;3;10;12;13;22;23;24;25;71","table;text","原编号：Q003；证据位置：NVIDIA Segment Revenue 表；Microsoft Azure/AI metrics 表；证据链说明：需要跨文档提取 AI 相关量化指标并比较。"
"FIN018","回购表 + 现金流表","Microsoft 与 Apple 的现金回报策略分别体现在哪些财务表格中？它们有哪些共同点？","展示成熟科技公司现金回报：回购、分红、现金流。","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1","6;64;65;22;35;36","table;text","原编号：Q006；证据位置：Microsoft Share Repurchase 表；Apple Capital Return/Cash Flow 表；证据链说明：综合股东回报相关财务表进行分析。"
"FIN019","风险表格 + 文本","NVIDIA 与 Apple 在供应链风险方面分别有哪些量化或结构化信息？这些信息说明了什么问题？","展示供应链/先进制造风险：风险文本与结构化证据结合。","T_FIN_03_Apple_10K_11_9;T_FIN_03_Apple_10K_12_9;T_FIN_01_NVIDIA_10K_38_1;TB_FIN_01_NVIDIA_10K_20_1","11;12;16;20;23;28;36;38","table;text","原编号：Q007；证据位置：Apple Supply Components；NVIDIA Risk Factors；证据链说明：从供应链结构和风险描述中建立跨文档联系。"
"FIN020","产品分类表 + 平台说明","Microsoft Azure、NVIDIA AI 平台和 Apple 服务生态分别依赖哪些核心产品或平台支撑？请结合表格和产品分类分析。","展示平台生态依赖：Azure/Copilot、CUDA/Blackwell、Apple Services。","T_FIN_02_Microsoft_Annual_Report_12_5;T_FIN_02_Microsoft_Annual_Report_25_1;T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1","2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81;26;27;38","table;text","原编号：Q008；证据位置：Microsoft AI Products；NVIDIA Platform Stack；Apple Services 表；证据链说明：需要结合产品分类表与平台说明共同回答。"
"FIN022","业务结构表 + 产品表","NVIDIA、Microsoft 与 Apple 的 AI 战略分别对应产业链中的哪个环节？请结合业务结构表说明。","展示 AI 产业链定位：算力层、云平台层、终端生态层。","TB_FIN_01_NVIDIA_10K_80_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_13_4;T_FIN_02_Microsoft_Annual_Report_2_3;T_FIN_03_Apple_10K_5_1;TB_FIN_03_Apple_10K_38_1","79;80;81;2;3;10;12;13;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q010；证据位置：NVIDIA Segment；Microsoft AI Platform；Apple Products & Services；证据链说明：需要跨多个业务结构表完成产业链定位分析。"
"FIN023","地区收入表 + 子公司表","Apple 地区收入表与 Tesla 全球子公司分布信息共同体现了什么全球经营特点？","展示全球经营特征：Apple 地区收入 + Tesla 全球实体布局。","TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_04_Tesla_10K_55_2;T_FIN_04_Tesla_10K_65_2","25;50;55;65;110","table;text","原编号：Q011；证据位置：Apple Segment Revenue；Tesla Subsidiaries 表；证据链说明：需要跨文档整合地区收入与全球实体布局信息。"
"FIN025","分部收入表 + 产品收入表","NVIDIA 的 “Compute & Networking” 收入与 Apple 的 “Products” 收入分别占据各自公司的什么核心地位？两家公司收入结构有何不同？","展示核心收入结构：NVIDIA 分部收入 + Apple 产品收入。","TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1","79;80;81;4;5;26;27;38","table;text","原编号：Q013；证据位置：NVIDIA Segment Revenue 表；Apple Net Sales by Product 表；证据链说明：需要分别读取 NVIDIA 分部收入表与 Apple 产品收入表，对比核心收入来源。"
"FIN027","财务表格","NVIDIA 与 Microsoft 在“基础设施型收入”上的增长分别体现在哪些表格数据中？","展示基础设施型收入：NVIDIA Data Center + Microsoft Intelligent Cloud。","TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_22_4","81;22;23;24;25;71","table;text","原编号：Q015；证据位置：NVIDIA Data Center Revenue 表；Microsoft Intelligent Cloud Revenue 表；证据链说明：对比 AI 基础设施相关收入结构变化。"
"FIN029","分部收入表 + 产品收入表","NVIDIA、Microsoft 与 Apple 哪家公司对“服务/平台型收入”的依赖程度更高？请结合业务表格说明。","展示服务/平台收入依赖：NVIDIA、Microsoft、Apple 三方对比。","C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_5_1","79;80;81;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q017；证据位置：NVIDIA Segment 表；Microsoft Segment Revenue；Apple Product & Services Revenue；证据链说明：需要综合比较不同公司收入结构。"
"FIN030","产品表格 + 分部表格","Apple 的产品分类表与 NVIDIA 的业务分部表体现了哪些不同的收入组织逻辑？","展示收入组织逻辑：Apple 产品分类 + NVIDIA 技术平台分部。","TB_FIN_03_Apple_10K_4_1;TB_FIN_03_Apple_10K_27_2;C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1","4;5;26;27;38;79;80;81","table;text","原编号：Q018；证据位置：Apple Product Revenue 表；NVIDIA Segment 表；证据链说明：对比两家公司财务报表中的分类方式。"
"FIN034","收入表格 + 产品结构表","NVIDIA 与 Apple 的核心收入来源在技术周期上分别受哪些因素驱动？请结合表格说明。","展示行业周期差异：AI 基础设施周期 + 消费电子周期。","T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_4_1","79;80;81;4;5;26;27;38","table;text","原编号：Q022；证据位置：NVIDIA Segment Revenue；Apple Product Revenue；证据链说明：对比 AI 周期与消费电子周期。"
"FIN035","财务表格 + 业务指标","Microsoft 与 NVIDIA 在年报中的 AI 相关收入或业务指标，分别体现了哪些企业客户需求？","展示企业 AI 需求：NVIDIA AI/Data Center + Microsoft Azure/Copilot。","TB_FIN_01_NVIDIA_10K_7_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2","4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71","table;text","原编号：Q023；证据位置：NVIDIA AI/Data Center 表；Microsoft Azure/Copilot 指标表；证据链说明：通过 AI 收入与业务指标分析企业需求差异。"
"FIN040","存货附注表","NVIDIA 与 Apple 在存货（Inventory）相关风险上分别体现了什么经营特点？","展示库存附注分析：NVIDIA 与 Apple 的行业周期差异。","TB_FIN_01_NVIDIA_10K_69_1;T_FIN_01_NVIDIA_10K_40_2;TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2","40;52;61;69;12;34;36","table;text","原编号：Q028；证据位置：NVIDIA Inventory Note；Apple Inventory Table；证据链说明：通过库存附注分析行业周期差异。"
"FIN041","客户集中度表","Microsoft 与 NVIDIA 的客户集中度风险分别体现在哪些附注表格中？","展示客户集中度披露：NVIDIA 客户集中 + Microsoft 收入集中。","T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_22_1;TB_FIN_02_Microsoft_Annual_Report_71_1","5;43;54;80;10;22;23;24;25;71","table;text","原编号：Q029；证据位置：NVIDIA Customer Concentration；Microsoft Revenue Concentration Note；证据链说明：需要比较不同公司客户集中度披露。"
"FIN045","现金流量表","Apple 与 Microsoft 的经营现金流分别反映了怎样的商业模式稳定性？","展示现金流结构：Apple 与 Microsoft 经营现金流对比。","TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2;TB_FIN_02_Microsoft_Annual_Report_38_1;TB_FIN_02_Microsoft_Annual_Report_38_2","36;38","table;text","原编号：Q033；证据位置：Apple Cash Flow Statement；Microsoft Cash Flow Table；证据链说明：通过经营现金流结构比较商业模式。"
"FIN046","研发费用表","NVIDIA、Apple 和 Microsoft 的研发费用（R&D）变化趋势分别体现了什么战略重点？","展示研发投入路线：NVIDIA、Microsoft、Apple 研发费用与技术战略。","TB_FIN_01_NVIDIA_10K_63_1;C_FIN_01_NVIDIA_10K_63_1;T_FIN_02_Microsoft_Annual_Report_26_3;T_FIN_02_Microsoft_Annual_Report_26_1;TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_25_1","43;46;53;63;26;4;5;25;38;50","table;text","原编号：Q034；证据位置：NVIDIA R&D Table；Microsoft R&D Expense；Apple Research & Development 表；证据链说明：通过研发费用附注分析技术路线。"
"FIN047","风险附注表","Apple 与 NVIDIA 在“供应商依赖风险”附注中分别体现了哪些共同问题？","展示多跳风险分析：供应链、制造、业务风险证据组织。","T_FIN_03_Apple_10K_4_1;T_FIN_03_Apple_10K_38_1;T_FIN_01_NVIDIA_10K_16_2;T_FIN_01_NVIDIA_10K_28_1","4;5;25;26;38;50;16;20;23;28;36","table;text","原编号：Q035；证据位置：Apple Supplier Risk；NVIDIA Supply Chain Risk；证据链说明：通过风险附注分析高端制造依赖。"
"FIN049","收入分部表","Tesla 与 NVIDIA 的收入结构分别体现了怎样的产业链定位差异？","展示 Tesla 与 NVIDIA 收入分部对比：制造收入 + AI 基础设施收入。","TB_FIN_04_Tesla_10K_59_1;TB_FIN_04_Tesla_10K_66_1;TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1","44;46;59;66;110;79;80;81","table;text","原编号：Q037；证据位置：Tesla Revenue by Segment 表；NVIDIA Segment Revenue 表；证据链说明：对比汽车制造收入与 AI 基础设施收入结构。"
"FIN058","分部收入表 + 业务表","Tesla、NVIDIA 与 Microsoft 在 AI 产业链中分别位于哪个核心环节？请结合业务收入表分析。","展示 AI 产业链全景：Tesla 应用端、NVIDIA 算力端、Microsoft 云平台端。","TB_FIN_04_Tesla_10K_110_1;TB_FIN_04_Tesla_10K_110_2;T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_23_1","44;46;59;66;110;79;80;81;22;23;24;25;71","table;text","原编号：Q046；证据位置：Tesla Segment Table；NVIDIA Segment Revenue；Microsoft Cloud Revenue；证据链说明：结合业务结构定位 AI 产业链层级。"
